AUTORE,TITOLO,CASA EDITRICE,COLLANA,ANNO PUBBLICAZIONE,NUMERO PAGINE 
AA. VV.,La casa di cartone,zero91,Letture Su Misura,2013,163
"Abelardo, Pietro","Dialogo tra un filosofo, un giudeo e un cristiano",Corriere della sera,I classici del pensiero libero,2011,136
"Alberoni, Francesco",L'albero della vita,Garzanti Editore,Saggi Blu,1982,145
"Alberti, Guglielmo",Alessandro Manzoni,Garzanti Editore,i Garzanti  ,1973,300
"Alighieri, Dante",La Divina Commedia. 1. Inferno,Gruppo Editoriale l'Espresso,La biblioteca di Repubblica-L'Espresso,2009,851
"Alighieri, Dante",La Divina Commedia. 2. Purgatorio,Gruppo Editoriale l'Espresso,La biblioteca di Repubblica-L'Espresso,2009,850
"Alighieri, Dante",La Divina Commedia. 3. Paradiso,Gruppo Editoriale l'Espresso,La biblioteca di Repubblica-L'Espresso,2009,784
"Alighieri, Dante",Vita nuova,Feltrinelli,Universale Economica Feltrinelli - I Classici,1993,184
"Allende, Isabel",Eva Luna racconta,Feltrinelli,Universale Economica Feltrinelli,1998,258
"Allende, Isabel",Paula,Feltrinelli,I Narratori,1995,326
"Allende, Isabel",Il gioco di Ripper,Feltrinelli,I Narratori,2013,462
"Ambler, Eric",La luce del giorno,Club Degli Editori,Un libro al mese,1964,297
Amnesty International,Liberi di essere. Storie a lieto fine di Amnesty International,Edizioni Cultura della Pace,la Biblioteca,1997,122
"Andersen, Hans Christian",Fiabe e storie. ,Feltrinelli,Universale Economica Feltrinelli / Classici,2018,1005
"Andersen, Hans Christian",Le fiabe,Newton Compton editori,Grandi Tascabili Economici 171,1993,429
"Andreoli, Stefano; Bonino, Alessandro",Spinoza. Un libro serissimo,Aliberti editori,,2010,235
"Angelini, Giuseppe",Le ragioni della scelta,STAMPATO,STAMPATO,STAMPATO,14
"Apollinaire, Guillaume",Gli amori,Arnoldo Mondadori Editore,Oscar poesia del Novecento,2005,362
"Apuleio, Lucio",La favole di Amore e Psiche,Newton Compton editori,Grandi Tascabili Economici Newton,2002,141
"Apuleio, Lucio",L'asido d'oro,Garzanti Editore,I Garzanti. I Grandi Libri,1977,282
"Arendt, Hannah",La banalità del male. Eichmann a Gerusalemme,Feltrinelli,Universale Economica Feltrinelli / Saggi,2019,335
"Arpino, Giovanni",La suora giovane,Arnoldo Mondadori Editore,Oscar Mondadori,1973,154
"Arpino, Giovanni",L'ombra delle colline,Arnoldo Mondadori Editore,Oscar Mondadori,1979,255
"Arpino, Giovanni",L'ombra delle colline,Arnoldo Mondadori Editore,Club degli Editori,1964,259
"Arpino, Giovanni",Un'anima persa,Arnoldo Mondadori Editore,Oscar Mondadori,1974,174
"Arredondo, Inés",I fenicotteri e altri racconti messicani,Ibis,,2003,111
"Auerbacher, inge",Io sono una stella. Una bambina dall'Olocausto,Bompiani,I Grandi Tascabili,1995,105
"Austen, Jane",Orgoglio e pregiudizio,Arnoldo Mondadori Editore,Gli Oscar,1974,348
"Austen, Jane",Orgoglio e pregiudizio,Editrice La Stampa,I Classici La Stampa 9,2003,304
"Austen, Jane",Orgoglio e pregiudizio,Cranford Collection,Storie senza tempo,2021,311
"Bacchelli, Riccardo",Il mulino del Po. volume primo,Oscar Mondadori,Classici Moderni,2009,653
"Bacchelli, Riccardo",Il mulino del Po. volume secondo,Oscar Mondadori,Classici Moderni,2009,665
"Bacchelli, Riccardo",Il mulino del Po. volume terzo,Oscar Mondadori,Classici Moderni,2009,784
"Bacchelli, Riccardo",Il mulino del Po. Volume II (Edizione ridotta e commentata),Mursia & C.,La nuova biblioteca,1969,290
"Bach, Richard",Il gabbiano Jonathan Livingston,Rizzoli,,2014,141
"Baldoni, Cesare",Il campo delle fragole,Società Editrice Internazionale,,1985,180
"Baranoviĉ, M.",Come l'uomo conquista la libertà,Cooperativa Vie Nuove,Edizioni Giorni,1974,300
"Barbery, Muriel",L'eleganza del riccio,Edizionieo,,2008,321
"Baricco, Alessandro",Castelli di rabbia,Bompiani,I Grandi Tascabili,1995,220
"Baricco, Alessandro",Emmaus,Mondolibri,,2010,139
"Baricco, Alessandro",L'anima di Hegel e le mucche di Wisconsin,Garzanti,Gli elefanti,2000,110
"Baricco, Alessandro",Next. Piccolo libro sulla globalizzazione e sul mondo che verrà.,Feltrinelli,Super UE,2002,90
"Baricco, Alessandro",Novecento. Un monologo,Feltrinelli,Universale economica,2012,62
"Baricco, Alessandro","Omero, Iliade",Feltrinelli,Varia,2004,163
"Baricco, Alessandro",Seta,Rizzoli Editore,,1996,100
Baroni - Fubini - Petazzi - Santi - Vinay,Storia della musica,Giulio Einaudi editore,Piccola Biblioteca Einaudi,2017,517
"Bassani, Giorgio ",Dietro la porta. Il romanzo di Ferrara Libro quarto,Oscar Mondadori,Scrittori del Novecento,1999,134
"Basso, Gino",Il coraggio di parlare,Fabbri Editori,Nuvole,2005,182
"Battaglia, Romano",Notte infinita,Rizzoli,Bur - Biblioteca Universale Rizzoli,1995,205
"Baudelaire, Charles",I Fiori del Male,Arnoldo Mondadori Editore,Oscar classici,1989,341
"Bedeschi, Giulio",Centomila gavette di ghiaccio. (Edizione ridotta e commentata ad uso delle scuole),Mursia & C.,La nuova biblioteca,1968,276
"Bellow, Saul",Il re della pioggia,Feltrinelli,Universale economica,1963,232
"Ben Jelloun, Tahar",L'albergo dei Poveri,Mondadori Printing,Mondolibri,2000,214
"Ben Jelloun, Tahar",L'albergo dei Poveri,Giulio Einaudi editore,Einaudi Tascabili. Letteratura,2001,2014
"Benazzi, Natale",L'Anno Santo con papa Francesco. Guida al Giubileo della Misericordia,Edizioni Piemme,Il mio Papa,2015,219
"Benigni, Roberto - Cerami, Vincenzo",La vita è bella,Giulio Einaudi editore,Einaudi Tascabili. Stile libero,1999,189
"Benni, Stefano",La compagnia dei Celestini,Feltrinelli,Universale Economica Feltrinelli,1994,283
"Benni, Stefano",Bar Sport,Feltrinelli,Universale Economica Feltrinelli,2004,129
"Benni, Stefano",Bar Sport duemila,Feltrinelli,I Narratori / Feltrinelli,1997,165
"Bergoglio, Jorge Mario Francesco",La croce e la pace. Meditazioni spirituali,E.M.I.,I libri EMI di papa Francesco,2014,126
"Bernagozzi, Daniela",Matè. Vita solitaria e randagia del pittore Matteo Olivero,Primalpe,,2014,267
"Bernstein, Harry",Il muro invisibile,Mondadori Printing,Edizioni Piemme,2007,329
"Bevilacqua, Alberto",Gli anni struggenti,Arnoldo Mondadori Editore,I Miti,2001,277
"Biamonti, Francesco",L'angelo di Avrigue,Editrice La Stampa,Collezione d'autore,2005,116
"Bianchi, Enzo",Il Padre nostro. Compendio di tutto il Vangelo,Edizioni San Paolo,I Grandi Maestro dello Spirito - N. 1,2010,122
"Bianchi, Enzo",Il pane di ieri,Giulio Einaudi editore,Super ET,2011,114
"Böll, Heinrich",E non disse nemmeno una parola,Arnoldo Mondadori Editore,Oscar narrativa,1985,217
"Bonaviri, Giuseppe",Il sarto della strada lunga,Arnoldo Mondadori Editore,Oscar classici moderni,1996,140
"Borges, Jorge Luis",Storia universale dell'infamia,Il Saggiatore,Biblioteca delle Silerchie,1982,110
"Borgna, Davide",I liberi voli del nibbio,Primalpe,,2003,199
"Borgna, Davide",Le braccia lungo il corpo,Primalpe,,2007,251
"Bossi Fedrigotti, Isabella",La valigia del signor Budischowsky,Rizzoli,La Scala,2003,128
"Bottero, Lelio",Bevo birra. Storia produzione degustazione,Araba Fenice,,2011,143
"Bradbury, Ray",Fahrenheit 451,Oscar Mondadori,Classici Moderni,2007,195
"Brecht, Bertolt",Vita di Galileo,Giulio Einaudi editore,Collezione di teatro,2004,142
"Breitenbach, Roland",Il piccolo vescovo. Un romanzo sulla Chiesa del futuro,Neri Pozza Editore,,1995,227
"Bresciani, Daniele",Ti volevo dire,Mondolibri,,2013,370
"Brigantino, Maurizio",Caduto da un sogno,L'Autore Libri Firenze,Biblioteca 80 - Poeti,2006,69
"Brontë, Charlotte",Jane Eyre,Tipografia Editoriale Lucchi,,1957,319
"Brontë, Emily",Cime tempestose,Garzanti,Garzanti per tutti,1965,353
"Brown, Dan",Angeli e demoni,Arnoldo Mondadori Editore,I Miti,2005,636
"Brown, Dan",Inferno,Arnoldo Mondadori Editore,Omnibus,2013,822
"Buck, Pearl S.",La buona terra,Arnoldo Mondadori Editore,Gli Oscar,1970,337
"Bukowski, Charles",Storie di ordinaria follia. Erezioni Eiaculazioni Esibizioni,Feltrinelli,Universale Economica Feltrinelli,2019,396
"Bulgakov, Michail",Cuore di cane,Newton Compton editori,Live,2013,126
"Bulgakov, Michail",Il Maestro e Margherita,Feltrinelli,Universale Economica Feltrinelli / Classici,2017,534
"Bulgakov, Michail",Il Maestro e Margherita,Arnoldo Mondadori Editore,Oscar classici moderni,2000,529
"Bunker, Edward",Educazione di una canaglia,Giulio Einaudi editore,Einaudi Tascabili. Stile libero,2002,519
"Buzzati, Dino",Il deserto dei Tartari - Dodici racconti,Edizione Scolastiche Mondadori,l'Airone,1970,333
"Buzzati, Dino","Il panettone non bastò. Scritti, racconti e fiabe natalizie",Oscar Mondadori,Oscar scrittori moderni,2013,162
"Buzzati, Dino",La boutique del mistero,Arnoldo Mondadori Editore,Gli Oscar,1972,223
"Caldwell, Erskine",Il bastardo,Arnoldo Mondadori Editore,Gli Oscar,1972,158
"Calvino, Italo",Il barone rampante,Oscar Mondadori,Oscar junior,2018,236
"Calvino, Italo",Il castello dei destini incrociati,Arnoldo Mondadori,Oscar Mondadori,2003,112
"Calvino, Italo",Perché leggere i classici,Arnoldo Mondadori,,1992,328
"Calvino, Italo",Il sentiero dei nidi di ragno,Arnoldo Mondadori Editore,Oscar Moderni,2020,152
"Campanella, Tommaso",La città del sole - Questione quarta sull'ottima repubblica,Corriere della sera,I classici del pensiero libero,2011,106
"Campanella, Tommaso",La città del sole  ,Arnoldo Mondadori Editore,Edizione CDE,1996,101
"Camus, Albert",La caduta - L'esilio e il regno,Garzanti Editore,Garzanti per tutti,1966,220
"Camus, Albert",La morte felice,Rizzoli Editore,Inediti di Albert Camus,1971,171
"Cannarella, Massimo; Lagomarsino, Francesca; Queirolo Palmas, Luca",Messi al bando. Una ricerca-azione tra i giovani migranti e le loro organizzazioni della strada,Carta Società Cooperativa,,2008,157
"Capuana, Luigi",Tutte le fiabe,Newton Compton editori,Grandi Tascabili Economici 172,1992,592
"Capuana, Luigi",Cardello,Edizioni Paoline,,1988,104
"Carcasi, Giulia",Ma le stelle quante sono,Feltrinelli,Super UE Feltrinelli,2007,135 - 97
"Cardella, Lara",Volevo i pantaloni,Arnoldo Mondadori Editore,Edizione CDE,1990,121
"Carrano, Patrizia",L'età crudele,Arnoldo Mondadori Editore,,1995,126
Casa di Anne Frank,La storia di Anne Frank,Anne Frank Stichting,,2004,215
"Cassola, Carlo",Un uomo solo,Rizzoli Editore,Club Italiani dei lettori,1979,136
"Cassola, Carlo",La lezione della storia,Rizzoli Editore,Biblioteca Universale Rizzoli,1978,98
"Cattabiani, Alfredo","Volario. Simboli, miti e misteri degli esseri alati: uccelli, insetti e creature fantastiche",Arnoldo Mondadori Editore,Oscar saggi - Scienze,2002,526
"Centini, Massimo","Creature fantastiche. Fate, folletti, mostri e diavoli. Viaggio nella mitologia popolare. In Piemonte Liguria Valle d'Aosta",Priuli & Verlucca,Collana Schema Libero,2012,235
